date,open,high,low,close
2026-02-19,1.17820,1.18070,1.17410,1.17720
2026-02-20,1.17720,1.18070,1.17420,1.17800
2026-02-23,1.17810,1.18340,1.17740,1.17840
2026-02-24,1.17900,1.17960,1.17650,1.17710
2026-02-25,1.17720,1.18140,1.17690,1.18090
2026-02-26,1.18090,1.18280,1.17730,1.17970
2026-02-27,1.17960,1.18260,1.17850,1.18130
2026-03-02,1.17760,1.17950,1.16710,1.16870
2026-03-03,1.16870,1.17060,1.15280,1.16130
2026-03-04,1.16110,1.16540,1.15730,1.16330
2026-03-05,1.16330,1.16470,1.15580,1.16070
2026-03-06,1.16090,1.16210,1.15440,1.16180
2026-03-09,1.15670,1.16370,1.15050,1.16360
2026-03-10,1.16360,1.16670,1.16050,1.16100
2026-03-11,1.16110,1.16450,1.15590,1.15660
2026-03-12,1.15670,1.15750,1.15080,1.15100
2026-03-13,1.15100,1.15290,1.14100,1.14160
2026-03-16,1.14120,1.15240,1.14100,1.15030
2026-03-17,1.15050,1.15470,1.14650,1.15380
2026-03-18,1.15390,1.15550,1.14480,1.14500
2026-03-19,1.14510,1.16160,1.14420,1.15880
2026-03-20,1.15880,1.15950,1.15240,1.15700
2026-03-23,1.15400,1.16390,1.14830,1.16120
2026-03-24,1.16130,1.16280,1.15550,1.16070
2026-03-25,1.16060,1.16300,1.15540,1.15580
2026-03-26,1.15580,1.15720,1.15190,1.15260
2026-03-27,1.15270,1.15470,1.15010,1.15080
2026-03-30,1.15110,1.15210,1.14420,1.14650
2026-03-31,1.14680,1.15630,1.14460,1.15520
2026-04-01,1.15520,1.16270,1.15480,1.15880
2026-04-02,1.15880,1.16050,1.15080,1.15370
2026-04-03,1.15370,1.15490,1.15120,1.15150
2026-04-06,1.15160,1.15710,1.15040,1.15410
2026-04-07,1.15400,1.16050,1.15220,1.15940
2026-04-08,1.15920,1.17210,1.15850,1.16620
2026-04-09,1.16620,1.17230,1.16490,1.16990
2026-04-10,1.16970,1.17390,1.16760,1.17190
2026-04-13,1.16610,1.17650,1.16610,1.17570
2026-04-14,1.17560,1.18110,1.17520,1.17950
2026-04-15,1.17960,1.18070,1.17710,1.17980
2026-04-16,1.17990,1.18230,1.17660,1.17810
2026-04-17,1.17750,1.18480,1.17600,1.17620
2026-04-20,1.17580,1.17900,1.17260,1.17870
2026-04-21,1.17870,1.17910,1.17180,1.17420
2026-04-22,1.17430,1.17620,1.17020,1.17030
2026-04-23,1.17040,1.17160,1.16680,1.16830
2026-04-24,1.16820,1.17230,1.16710,1.17200
2026-04-27,1.16980,1.17540,1.16870,1.17200
2026-04-28,1.17230,1.17260,1.16760,1.17110
2026-04-29,1.17100,1.17200,1.16600,1.16770
2026-04-30,1.16700,1.17410,1.16540,1.17300
2026-05-01,1.17310,1.17850,1.17140,1.17200
2026-05-04,1.17330,1.17560,1.16800,1.16900
2026-05-05,1.16950,1.17130,1.16750,1.16920
2026-05-06,1.16910,1.17960,1.16890,1.17470
2026-05-07,1.17490,1.17780,1.17210,1.17250
2026-05-08,1.17240,1.17870,1.17200,1.17840
2026-05-11,1.17770,1.17900,1.17460,1.17820
2026-05-12,1.17790,1.17870,1.17210,1.17370
2026-05-13,1.17350,1.17410,1.16950,1.17100
2026-05-14,1.17100,1.17210,1.16650,1.16680
2026-05-15,1.16700,1.16730,1.16160,1.16250
2026-05-18,1.16240,1.16600,1.16070,1.16550
2026-05-19,1.16550,1.16610,1.15910,1.16040
2026-05-20,1.16010,1.16440,1.15820,1.16270
2026-05-21,1.16250,1.16350,1.15750,1.16180
2026-05-22,1.16180,1.16220,1.15870,1.16020
2026-05-25,1.16290,1.16530,1.16280,1.16430
2026-05-26,1.16400,1.16450,1.16150,1.16280
2026-05-27,1.16280,1.16600,1.16210,1.16240
2026-05-28,1.16240,1.16600,1.15840,1.16510
2026-05-29,1.16500,1.16850,1.16220,1.16590
2026-06-01,1.16550,1.16650,1.16060,1.16300
2026-06-02,1.16270,1.16550,1.16130,1.16310
2026-06-03,1.16300,1.16330,1.15940,1.15950
2026-06-04,1.15960,1.16450,1.15920,1.16090
2026-06-05,1.16150,1.16440,1.15160,1.15190
2026-06-08,1.15180,1.15540,1.14990,1.15340
2026-06-09,1.15400,1.15770,1.15250,1.15430
2026-06-10,1.15410,1.15720,1.15300,1.15350
2026-06-11,1.15350,1.15890,1.15020,1.15770
2026-06-12,1.15770,1.15890,1.15550,1.15680
2026-06-15,1.15720,1.16220,1.15660,1.15900
2026-06-16,1.15900,1.16190,1.15730,1.16070
2026-06-17,1.16070,1.16160,1.14770,1.14990
2026-06-18,1.14990,1.15280,1.14500,1.14560
2026-06-19,1.14570,1.14800,1.14160,1.14680
2026-06-22,1.14650,1.14730,1.14180,1.14270
2026-06-23,1.14270,1.14380,1.13740,1.13810
2026-06-24,1.13820,1.13840,1.13240,1.13570
2026-06-25,1.13600,1.13880,1.13330,1.13690
2026-06-26,1.13680,1.14340,1.13530,1.13830
2026-06-29,1.13850,1.14300,1.13770,1.14200
2026-06-30,1.14210,1.14360,1.13810,1.14210
2026-07-01,1.14210,1.14230,1.13610,1.13760
2026-07-02,1.13760,1.14720,1.13730,1.14300
2026-07-03,1.14350,1.14620,1.14190,1.14350
2026-07-06,1.14350,1.14440,1.14080,1.14400
2026-07-07,1.14410,1.14470,1.14070,1.14110
2026-07-08,1.14110,1.14310,1.13900,1.14140
