date,open,high,low,close
2026-02-19,1.35020,1.35160,1.34310,1.34620
2026-02-20,1.34620,1.35140,1.34320,1.34820
2026-02-23,1.34950,1.35350,1.34730,1.34890
2026-02-24,1.34920,1.35360,1.34670,1.34870
2026-02-25,1.34870,1.35650,1.34840,1.35560
2026-02-26,1.35560,1.35750,1.34420,1.34810
2026-02-27,1.34790,1.35070,1.34360,1.34840
2026-03-02,1.34840,1.34840,1.33120,1.34050
2026-03-03,1.34040,1.34250,1.32500,1.33540
2026-03-04,1.33580,1.34030,1.33000,1.33720
2026-03-05,1.33720,1.33870,1.32950,1.33550
2026-03-06,1.33490,1.34130,1.33080,1.34110
2026-03-09,1.33530,1.34460,1.32800,1.34350
2026-03-10,1.34290,1.34830,1.34090,1.34160
2026-03-11,1.34170,1.34570,1.33900,1.34110
2026-03-12,1.34100,1.34120,1.33350,1.33410
2026-03-13,1.33410,1.33690,1.32150,1.32220
2026-03-16,1.32280,1.33390,1.32170,1.33160
2026-03-17,1.33180,1.33640,1.32700,1.33540
2026-03-18,1.33540,1.33740,1.32490,1.32540
2026-03-19,1.32560,1.34660,1.32430,1.34300
2026-03-20,1.34290,1.34420,1.32950,1.33390
2026-03-23,1.33020,1.34790,1.32540,1.34280
2026-03-24,1.34350,1.34450,1.33490,1.34090
2026-03-25,1.34100,1.34350,1.33550,1.33630
2026-03-26,1.33630,1.33770,1.33070,1.33290
2026-03-27,1.33260,1.33470,1.32550,1.32560
2026-03-30,1.32620,1.32820,1.31700,1.31850
2026-03-31,1.31850,1.32640,1.31560,1.32220
2026-04-01,1.32260,1.33460,1.32170,1.33040
2026-04-02,1.33010,1.33200,1.31780,1.32230
2026-04-03,1.32260,1.32420,1.31850,1.31890
2026-04-06,1.31820,1.32680,1.31730,1.32320
2026-04-07,1.32320,1.33000,1.32080,1.32900
2026-04-08,1.32900,1.34840,1.32790,1.33920
2026-04-09,1.34000,1.34580,1.33780,1.34330
2026-04-10,1.34330,1.34790,1.34070,1.34580
2026-04-13,1.33890,1.35080,1.33770,1.35040
2026-04-14,1.34990,1.35890,1.34880,1.35640
2026-04-15,1.35730,1.35790,1.35400,1.35580
2026-04-16,1.35660,1.35940,1.35130,1.35240
2026-04-17,1.35270,1.35990,1.35010,1.35140
2026-04-20,1.35090,1.35440,1.34710,1.35320
2026-04-21,1.35310,1.35390,1.34720,1.35060
2026-04-22,1.35020,1.35350,1.34890,1.35010
2026-04-23,1.35000,1.35180,1.34440,1.34670
2026-04-24,1.34640,1.35370,1.34500,1.35310
2026-04-27,1.34990,1.35760,1.34990,1.35300
2026-04-28,1.35340,1.35410,1.34600,1.35160
2026-04-29,1.35140,1.35280,1.34550,1.34730
2026-04-30,1.34720,1.36120,1.34510,1.36000
2026-05-01,1.36000,1.36580,1.35650,1.35720
2026-05-04,1.35740,1.36020,1.35090,1.35310
2026-05-05,1.35330,1.35780,1.35100,1.35390
2026-05-06,1.35350,1.36430,1.35300,1.35910
2026-05-07,1.35850,1.36320,1.35450,1.35510
2026-05-08,1.35470,1.36360,1.35410,1.36320
2026-05-11,1.36090,1.36530,1.35590,1.36070
2026-05-12,1.36130,1.36150,1.34980,1.35360
2026-05-13,1.35390,1.35510,1.34820,1.35220
2026-05-14,1.35200,1.35320,1.33920,1.33990
2026-05-15,1.34030,1.34080,1.33120,1.33210
2026-05-18,1.33150,1.34490,1.33000,1.34330
2026-05-19,1.34320,1.34370,1.33750,1.33930
2026-05-20,1.33930,1.34620,1.33720,1.34310
2026-05-21,1.34320,1.34540,1.33880,1.34290
2026-05-22,1.34290,1.34630,1.34110,1.34270
2026-05-25,1.34410,1.35090,1.34400,1.35010
2026-05-26,1.35010,1.35060,1.34310,1.34450
2026-05-27,1.34430,1.34590,1.34130,1.34270
2026-05-28,1.34260,1.34500,1.33640,1.34430
2026-05-29,1.34420,1.34850,1.34050,1.34590
2026-06-01,1.34580,1.34760,1.34040,1.34510
2026-06-02,1.34510,1.34810,1.34430,1.34650
2026-06-03,1.34610,1.34710,1.34090,1.34160
2026-06-04,1.34150,1.34620,1.34080,1.34200
2026-06-05,1.34240,1.34830,1.33270,1.33390
2026-06-08,1.33290,1.33690,1.33020,1.33380
2026-06-09,1.33380,1.34100,1.33260,1.33760
2026-06-10,1.33770,1.34230,1.33610,1.33660
2026-06-11,1.33680,1.34330,1.33220,1.34120
2026-06-12,1.34160,1.34270,1.33800,1.34060
2026-06-15,1.33980,1.34610,1.33960,1.34120
2026-06-16,1.34200,1.34430,1.33870,1.34260
2026-06-17,1.34250,1.34350,1.32590,1.32910
2026-06-18,1.32830,1.33240,1.31900,1.32020
2026-06-19,1.32030,1.32400,1.31600,1.32320
2026-06-22,1.31920,1.32730,1.31760,1.32470
2026-06-23,1.32560,1.32600,1.31790,1.32030
2026-06-24,1.31960,1.32090,1.31370,1.31650
2026-06-25,1.31650,1.32190,1.31450,1.31910
2026-06-26,1.31880,1.32310,1.31770,1.32010
2026-06-29,1.32000,1.32620,1.31820,1.32560
2026-06-30,1.32550,1.32760,1.32090,1.32600
2026-07-01,1.32570,1.32920,1.32160,1.32710
2026-07-02,1.32730,1.33840,1.32540,1.33460
2026-07-03,1.33460,1.33810,1.33280,1.33510
2026-07-06,1.33510,1.33970,1.33250,1.33900
2026-07-07,1.33880,1.34010,1.33460,1.33520
2026-07-08,1.33510,1.34100,1.33190,1.33860
